stamp,gnss_x,gnss_y,gnss_z,gnss_roll,gnss_pitch,gnss_yaw,gnss_map_vx,gnss_map_vy,gnss_map_vz,gnss_base_vx,gnss_base_vy,gnss_base_vz,gnss_status,gnss_fsm_status,gnss_original_status
1716182172.728704,1134.160595,565.100179,-0.008721,0.020955,-0.001325,0.002272,3.058144,0.000203,0.178400,3.053497,0.019488,0.244631,1,1,1
1716182172.928692,1134.754218,565.098986,-0.007778,0.022491,-0.000766,0.001701,2.816219,-0.031531,0.049200,2.814541,-0.014445,0.112500,1,1,1
1716182173.128696,1135.303650,565.096506,-0.010594,0.021526,0.000329,0.002420,2.672320,-0.000066,-0.214100,2.676578,0.008668,-0.151614,1,1,1
1716182173.328687,1135.813031,565.095321,-0.007843,0.024715,0.000972,0.002708,2.437491,0.003955,0.067000,2.435131,0.017073,0.125362,1,1,1
1716182173.528677,1136.282592,565.091953,-0.009944,0.023722,0.001580,0.002234,2.196912,0.007122,0.070600,2.194440,0.020197,0.124421,1,1,1
1716182173.728674,1136.710231,565.090421,-0.009321,0.024256,0.001582,0.002848,2.017978,-0.027056,-0.107500,2.020110,-0.020388,-0.057116,1,1,1
1716182173.928680,1137.096632,565.088783,-0.006006,0.027710,0.002062,0.002604,1.826481,-0.027341,0.003400,1.825913,-0.018387,0.049987,1,1,1
1716182174.128688,1137.440634,565.092100,-0.009397,0.024508,0.001824,0.003197,1.613524,0.000629,0.109500,1.610276,0.010133,0.149535,1,1,1
1716182174.328681,1137.748181,565.093974,-0.008791,0.025445,0.002145,0.002647,1.475879,0.008281,0.009300,1.475125,0.015598,0.046236,1,1,1
1716182174.528669,1138.042195,565.091515,-0.008047,0.027253,0.003040,0.002799,1.436429,-0.027002,-0.015700,1.436443,-0.020699,0.022500,1,1,1
1716182174.728667,1138.330882,565.091091,-0.010833,0.024703,0.002906,0.003042,1.402538,0.000979,0.002400,1.401986,0.007239,0.038757,1,1,1
1716182174.928667,1138.622542,565.090750,-0.011423,0.023396,0.002292,0.003713,1.512038,-0.019304,-0.005800,1.511750,-0.013789,0.032967,1,1,1
1716182175.128697,1138.952150,565.089819,-0.008136,0.025179,0.001516,0.004175,1.749565,-0.015566,-0.003200,1.749147,-0.009945,0.040199,1,1,1
1716182175.328687,1139.317971,565.090324,-0.011884,0.022499,0.001909,0.003472,1.929776,-0.008648,-0.043500,1.930279,-0.001968,0.004861,1,1,1
1716182175.528724,1139.718692,565.093101,-0.012763,0.022445,0.002439,0.003846,2.152072,-0.014807,0.017300,2.150962,-0.006669,0.072466,1,1,1
1716182175.728713,1140.160079,565.093159,-0.013832,0.021539,0.002443,0.003844,2.345056,-0.026891,0.025000,2.343723,-0.017907,0.085328,1,1,1
1716182175.928710,1140.641807,565.095815,-0.012813,0.021479,0.001734,0.004031,2.555558,-0.017109,-0.026500,2.555466,-0.008984,0.037209,1,1,1
1716182176.128709,1141.164272,565.098719,-0.015912,0.020894,0.003303,0.003275,2.763441,-0.004728,-0.050400,2.763807,0.005796,0.022491,1,1,1
1716182176.328716,1141.731072,565.100835,-0.020565,0.017924,0.004062,0.003615,2.925492,0.005163,0.061000,2.922723,0.017504,0.140117,1,1,1
1716182176.528737,1142.341565,565.100360,-0.018363,0.020428,0.004541,0.003745,3.162391,-0.003624,-0.036100,3.162176,0.007473,0.051201,1,1,1
1716182176.728725,1142.980521,565.097966,-0.024270,0.019905,0.007981,0.003561,3.252871,-0.026345,-0.094100,3.254295,-0.015215,0.007352,1,1,1
1716182176.928724,1143.614582,565.093128,-0.022696,0.020970,0.007770,0.003501,3.082116,-0.016647,0.033500,3.079651,-0.003457,0.128753,1,1,1
1716182177.128720,1144.214266,565.086582,-0.024878,0.019590,0.008135,0.003545,2.905371,-0.043076,0.024000,2.903334,-0.030965,0.115358,1,1,1
1716182177.328708,1144.803783,565.084351,-0.029333,0.019043,0.010614,0.004136,2.966217,-0.035753,-0.068400,2.966926,-0.026778,0.032133,1,1,1
1716182177.528696,1145.416906,565.085370,-0.027840,0.020010,0.010381,0.003988,3.152770,-0.012495,0.040600,3.149666,-0.000310,0.146170,1,1,1
1716182177.728751,1146.061090,565.087649,-0.025501,0.018228,0.007502,0.003802,3.250512,0.002112,0.035100,3.247894,0.014852,0.134272,1,1,1
1716182177.928764,1146.735075,565.090374,-0.026854,0.020940,0.010450,0.002034,3.481909,0.013719,-0.153200,3.484980,0.029956,-0.036907,1,1,1
1716182178.128760,1147.438527,565.092624,-0.017435,0.021860,0.005029,0.003070,3.569154,-0.040427,0.029200,3.567047,-0.023968,0.130194,1,1,1
1716182178.328749,1148.163204,565.090614,-0.027222,0.018463,0.008800,0.002816,3.706781,-0.073167,0.053600,3.703458,-0.054619,0.172813,1,1,1
1716182178.528735,1148.927602,565.089271,-0.012477,0.022602,0.002372,0.002932,3.900492,-0.011171,-0.073900,3.901122,0.004781,0.025461,1,0,1
1716182178.728729,1149.699777,565.083659,-0.021081,0.017843,0.004336,0.003518,3.893132,-0.030807,-0.090800,3.894242,-0.017024,0.016302,1,0,1
1716182178.928716,1150.487605,565.084660,-0.014751,0.016316,-0.000943,0.003765,3.951219,-0.046819,0.017100,3.950004,-0.032265,0.105098,1,0,1
1716182179.128720,1151.273861,565.084991,-0.011130,0.018987,-0.001260,0.003430,3.971117,-0.079615,0.050700,3.969319,-0.063006,0.138625,1,1,1
1716182179.328709,1152.060433,565.086618,-0.009814,0.017546,-0.003214,0.003024,3.960900,-0.035888,-0.024500,3.960716,-0.019228,0.054569,1,1,1
1716182179.528704,1152.837283,565.090802,-0.007233,0.019696,-0.003251,0.002503,3.885902,-0.029119,-0.002600,3.885279,-0.010411,0.074761,1,1,1
1716182179.728709,1153.601595,565.093345,-0.009823,0.017443,-0.003286,0.003318,3.845408,-0.034940,-0.001000,3.844776,-0.019504,0.075493,1,1,1
1716182179.928705,1154.363565,565.095318,-0.003013,0.021544,-0.004585,0.003530,3.835830,-0.065916,0.014700,3.835099,-0.051147,0.086897,1,1,1
1716182180.128705,1155.113921,565.094428,-0.017281,0.017259,0.001421,0.004759,3.797108,-0.022000,0.049700,3.794789,-0.011058,0.142945,1,1,1
1716182180.328699,1155.883263,565.091060,-0.010942,0.015134,-0.004319,0.004818,3.846097,-0.041342,0.140800,3.842863,-0.029573,0.213365,1,1,1
1716182180.528722,1156.641418,565.092227,-0.013829,0.020090,0.001336,0.004365,3.816751,-0.052701,0.006800,3.815567,-0.040898,0.100917,1,1,1
1716182180.728721,1157.409560,565.093638,-0.014854,0.015258,-0.001682,0.004632,3.856639,-0.024078,0.092700,3.853821,-0.012128,0.175374,1,1,1
1716182180.928711,1158.171891,565.098607,-0.016655,0.015319,-0.000465,0.003763,3.824240,0.001773,-0.018200,3.823648,0.015350,0.068031,1,1,1
1716182181.128711,1158.913748,565.099692,-0.016053,0.015703,-0.000563,0.003300,3.583262,-0.037533,0.025700,3.581891,-0.022497,0.106721,1,1,1
1716182181.328701,1159.619309,565.100312,-0.012417,0.017447,-0.001597,0.002294,3.416755,-0.011750,0.061500,3.414662,0.006639,0.134817,1,1,1
