stamp,optimized_pose_x,optimized_pose_y,optimized_pose_yaw
1716030642.899696,890.511137,503.828544,1.577812
1716030643.099701,890.524418,504.512839,1.580276
1716030643.299722,890.597401,505.067212,1.582000
1716030643.499746,890.592186,505.572566,1.578183
1716030643.599768,890.590899,505.820149,1.575337
1716030643.799768,890.560059,506.296250,1.583489
1716030643.999697,890.482017,506.588608,1.578493
1716030644.199623,890.474493,506.781662,1.560404
1716030644.399615,890.473569,506.820680,1.580260
1716030644.599589,890.475916,507.008477,1.572436
1716030645.199649,890.441459,507.581875,1.596620
1716030645.399716,890.303261,507.942846,1.586286
1716030645.599732,890.479127,508.275076,1.585548
1716030645.699723,890.354191,508.438474,1.543539
1716030645.899720,890.350592,508.839957,1.582215
1716030646.099735,890.435009,509.290581,1.577360
1716030646.299750,890.385250,509.777710,1.558763
1716030646.499735,890.369829,510.232069,1.561160
1716030646.699737,890.449807,510.680985,1.535665
1716030646.899747,890.403165,511.160851,1.524445
1716030647.099727,890.430148,511.602267,1.503569
1716030647.299762,890.463443,512.081116,1.485633
1716030647.499722,890.438190,512.526833,1.477762
1716030647.699704,890.478822,512.976200,1.463448
1716030647.799710,890.504516,513.188714,1.443044
1716030647.999771,890.849401,513.663671,1.416477
1716030648.199769,890.860297,514.107057,1.394936
1716030648.399720,890.944882,514.567579,1.363131
1716030648.599652,891.047305,515.040736,1.326121
1716052582.499685,897.195822,492.403499,-3.114443
1716052582.699679,896.595692,492.390129,3.136320
1716052582.899676,896.084123,492.382290,-3.133060
1716052583.099657,895.481168,492.352922,-3.125605
1716052583.299691,894.993681,492.399077,-3.131267
1716052583.499724,894.421420,492.453971,-3.126325
1716052583.699723,893.830608,492.392811,-3.121603
1716052583.899760,893.392326,492.388112,-3.128572
1716052584.099773,892.943269,492.429411,3.137272
1716052584.299765,892.439250,492.424282,3.086248
1716052584.399766,892.284576,492.445459,3.105705
1716052584.599727,891.875505,492.470371,3.080278
1716052584.799647,891.490593,492.489818,3.053794
1716052584.999635,890.997997,492.527796,3.043408
1716052585.199655,890.622176,492.579395,3.000026
1716052585.399586,890.241332,492.664610,2.987770
1716052585.599603,889.981395,492.703197,2.940578
1716052585.799645,889.623557,492.771469,2.904683
1716052585.999654,889.246730,492.893470,2.879862
1716052586.199651,888.909509,492.978141,2.834868
1716052586.399656,888.511009,493.112067,2.808640
1716052586.499660,888.327890,493.174205,2.788533
1716052586.699670,887.983066,493.332575,2.762622
1716052586.899710,887.582222,493.498099,2.718363
1716052587.099799,887.204846,493.689108,2.708650
1716052587.299770,886.859717,493.894941,2.650578
1716052587.499669,886.569776,494.084646,2.609128
1716052587.699600,886.179997,494.281275,2.561038
1716052587.899583,885.780204,494.521511,2.545906
1716052588.099598,885.559749,494.751672,2.504253
1716052588.299605,885.294890,494.974327,2.450116
1716052588.499627,884.956558,495.237446,2.427711
1716052588.599635,884.790741,495.375083,2.412845
1716052588.799650,884.539173,495.659989,2.374406
1716052588.999659,884.251933,495.957045,2.344515
1716052589.199663,883.964067,496.242931,2.302366
1716052589.399686,883.701272,496.567802,2.265290
1716052589.599732,883.450357,496.878484,2.227251
1716052589.799784,883.245369,497.192075,2.217861
1716052589.999731,883.040893,497.509746,2.129573
1716052590.199674,882.743215,497.873189,2.094555
1716052590.399639,882.616224,498.244947,2.075200
1716052590.599615,882.386005,498.622213,2.053263
1716052590.699620,882.310336,498.748985,2.046323
1716052590.899694,882.130853,499.087442,2.021781
1716052591.099732,881.845951,499.473940,1.979024
1716052591.299736,881.776531,499.792759,1.963272
1716052591.499726,881.621280,500.139807,1.928053
1716052591.699715,881.550467,500.543017,1.880834
1716052591.899704,881.498253,500.903649,1.856827
1716052592.099665,881.244551,501.229806,1.832933
1716052592.299692,881.188766,501.617298,1.804870
1716052592.499717,881.081110,502.005153,1.796724
1716052592.699728,880.909297,502.424461,1.751596
1716052592.799724,880.882174,502.553604,1.730726
1716052592.999731,880.839007,502.946668,1.711180
1716052593.199733,880.916390,503.344915,1.665994
1716052593.399753,880.792063,503.767483,1.650906
1716052593.599769,880.731272,504.168816,1.620178
1716052593.799749,880.748303,504.564291,1.595527
1716052593.999739,880.767533,504.876940,1.573703
1716052594.199730,880.781344,505.357915,1.548900
1716052594.399711,880.780772,505.755381,1.518232
1716052594.599709,880.807473,506.181180,1.487484
1716052594.799655,880.910842,506.664898,1.472566
1716052594.899641,880.839433,506.749704,1.411119
1716052595.099668,880.972664,507.149672,1.417231
1716052595.299714,881.035729,507.543994,1.402155
1716052595.499706,880.969163,507.971493,1.367332
1716052595.699693,881.053982,508.363212,1.358180
1716052595.899688,881.146130,508.750553,1.338198
1716052596.099800,881.199018,509.116510,1.317053
1716052596.299801,881.261135,509.517974,1.303002
1716052596.499718,881.387149,509.899811,1.252273
1716052596.699666,881.611266,510.285126,1.245119
1716052596.899605,881.664696,510.668607,1.190142
1716052596.999580,881.822625,510.837458,1.204653
1716052597.199620,882.033887,511.242638,1.164565
1716052597.399655,882.224882,511.727807,1.163846
1716052597.599684,882.392819,511.993831,1.132669
1716052597.799660,882.555632,512.348221,1.107248
1716052597.999662,882.620452,512.723544,1.054535
1716052598.199677,882.818795,513.057779,1.046253
1716052598.399686,882.961020,513.497502,1.048886
1716052598.599708,883.164724,513.953864,1.034275
